SM Group,SM Title,SM Description,SM Type,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1
Nordre boulevard 73- falck,Overlay,,Line,#1F49FF,,55.6318267,8.483911341,"55.6318267,8.483911341 55.631761592,8.483876473 55.631822158,8.483871108 55.631766135,8.483838922","sm76d4d771",Pladser Varde,Nordre boulevard 73- falck
Nordre boulevard 73- falck,Overlay,,Line,#1F49FF,,55.63212044,8.482862598,"55.63212044,8.482862598 55.632020508,8.483927435 55.63199931,8.484026676 55.631964486,8.484064227 55.631909977,8.48406691 55.631616235,8.484010583","sma7510ea2",Pladser Varde,Nordre boulevard 73- falck
Nordre boulevard 73- falck,Overlay,,Polygon,#FFB124,,55.631737366,8.483348078,"55.631737366,8.483348078 55.631747965,8.483246154 55.631735852,8.483240789 55.631744937,8.483160323 55.631732824,8.483146912 55.631758564,8.48291356 55.631962972,8.482975251 55.631906949,8.48355729 55.631850926,8.483543879 55.631832757,8.483686036 55.631817615,8.483841604 55.63184487,8.483860379 55.631879695,8.483881837 55.631869096,8.483956939 55.631949344,8.483999854 55.631958429,8.483927435 55.63199931,8.483916706 55.632032621,8.483610934 55.632037164,8.483597523 55.632067446,8.483621663 55.632079559,8.483476824 55.632053819,8.483476824 55.632081073,8.483154959 55.632109841,8.483181781 55.632124983,8.483018166 55.632091672,8.483028895 55.632103785,8.482876009 55.631997796,8.482859916 55.631717683,8.482806271 55.631651061,8.483323938 55.631737366,8.483348078","sm31ee1111",Pladser Varde,Nordre boulevard 73- falck
