SM Group,SM Title,SM Description,SM Type,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1,SM Group 2,SM Group 3,SM Group 4
VK JD,Overlay,,Line,#1F49FF,,56.485275116,9.144312779,"56.485275116,9.144312779 56.486074839,9.144366423 56.486519123,9.142928759 56.486797538,9.142295758 56.487247737,9.141287247 56.48699302,9.141888062 56.486797538,9.141560833 56.486797538,9.141560833","sm32cbcdff",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.483566021,9.138004225,"56.483566021,9.138004225 56.483675619,9.13850848 56.483358674,9.137156646 56.483237227,9.136604111 56.483237227,9.136604111","smea4570d9",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.484173248,9.140058797,"56.484173248,9.140058797 56.483637112,9.137993496 56.483637112,9.137993496","sm635d4850",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.484407249,9.141297979,"56.484407249,9.141297979 56.484288767,9.141415996 56.484288767,9.141415996","sm2cdfb249",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.484268033,9.140729351,"56.484268033,9.140729351 56.48445168,9.141453547 56.48445168,9.141453547","sm32072baa",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.484507958,9.142778558,"56.484507958,9.142778558 56.484620515,9.143009228 56.484516844,9.143577857 56.484516844,9.143577857","smd95a247a",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.483740785,9.143170161,"56.483740785,9.143170161 56.483752633,9.142993135 56.483829647,9.142773194 56.483912585,9.142596168 56.484188058,9.142360134 56.484078461,9.141904158 56.484487224,9.141598387 56.484721224,9.142499609 56.484721224,9.142499609 56.484472414,9.142810745 56.484232488,9.141812963 56.484232488,9.141812963","smcf2b350a",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.481439168,9.142258212,"56.481439168,9.142258212 56.482452251,9.142649815 56.483734859,9.143170163 56.483734859,9.143170163 56.483536398,9.144554183 56.483112815,9.144645378 56.483083193,9.144361063 56.483124663,9.143819257 56.483201679,9.143846079 56.483278694,9.14319162 56.483207603,9.143175527 56.483228338,9.142955586 56.483228338,9.142955586","smb243ab94",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.485229203,9.146375403,"56.485229203,9.146375403 56.485433578,9.145629749 56.485438021,9.145511732 56.485488375,9.145444677 56.485630548,9.145986483 56.485630548,9.145986483","sm4ef9ddbc",Viborg,VK JD
VK JD,Overlay,,Line,#1F49FF,,56.485161075,9.147048638,"56.485161075,9.147048638 56.485221795,9.146388815 56.48515367,9.146302984 56.485082582,9.14615278 56.485027786,9.145948932 56.484981875,9.145747767 56.484981875,9.145747767 56.484964103,9.145527826 56.484983356,9.145758496 56.48491523,9.145731674 56.48491523,9.145731674","sm77a00f85",Viborg,VK JD
