SM Group,SM Title,SM Description,SM Type,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1
storegade geoson.geojson,Overlay,,Polygon,#FFB124,,55.94166233,9.13074001,"55.94166233,9.13074001 55.94157296,9.13055226 55.94162403,9.13046509 55.94160976,9.13043827 55.94156019,9.13051068 55.9415324,9.13054153 55.94149409,9.13047715 55.94152038,9.13042485 55.94147757,9.13032963 55.94141072,9.13042217 55.94140847,9.13044363 55.94140396,9.13047045 55.94140021,9.13047984 55.94147381,9.13066089 55.9413972,9.13078561 55.94135965,9.13079768 55.9414295,9.13093313 55.94142124,9.13086071 55.94143701,9.1308245 55.94146105,9.13087814 55.94148358,9.13084864 55.9415001,9.13082182 55.94156995,9.1309452 55.94166233,9.13074001","sm0d293ca7",Brande Aulum,storegade geoson.geojson
storegade geoson.geojson,Overlay,,Line,#1F49FF,,55.941603,9.13125902,"55.941603,9.13125902 55.94125525,9.13053616 55.94124849,9.13045167 55.94126201,9.13038998 55.94128605,9.13034707 55.94134313,9.13026928 55.94141223,9.13016736","sm344a3c76",Brande Aulum,storegade geoson.geojson
Vestergårdsvej 3 Wash World Brande,Overlay,,Polygon,#FFB124,,55.96037006,9.104016106,"55.96037006,9.104016106 55.960402341,9.103833716 55.960421108,9.103794824 55.960461646,9.10376532 55.960490173,9.103759955 55.960552481,9.103788118 55.96059452,9.103818964 55.96061629,9.103818964 55.960646318,9.103796165 55.960731898,9.103671442 55.960815225,9.103541355 55.960821981,9.103505145 55.960815225,9.103468936 55.960749914,9.103313367 55.960731898,9.103308003 55.960701119,9.103334825 55.960606531,9.103423338 55.960522452,9.103562813 55.960537466,9.103607069 55.960511192,9.103648644 55.960535965,9.103706311 55.96058401,9.103671443 55.960639937,9.103599694 55.960633556,9.103577565 55.960570936,9.103651998 55.960545853,9.103584651 55.960622794,9.103477873 55.960655326,9.103542697 55.960633556,9.103577565 55.960638811,9.103599023 55.960675595,9.103549402 55.960660581,9.103509169 55.960688357,9.103454183 55.960715382,9.103415291 55.960727393,9.103411268 55.960749164,9.103464912 55.960761925,9.103513192 55.960760424,9.103529285 55.960754418,9.103526603 55.960732648,9.103533309 55.960698867,9.103553425 55.960649321,9.103649985 55.960632055,9.103695582 55.9606268,9.103725087 55.960608783,9.103750568 55.960577253,9.103755932 55.960529959,9.103721063 55.960510441,9.103713017 55.960537466,9.103706311 55.960511192,9.103645961 55.960490172,9.103667419 55.960460894,9.103671443 55.960429365,9.103687536 55.96039183,9.103706311 55.960367056,9.103738498 55.960352793,9.103802871 55.960313005,9.103973191 55.96037006,9.104016106","sm989f95e4",Brande Aulum,Vestergårdsvej 3 Wash World Brande
