SM Group,SM Title,SM Description,SM Type,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1
54,Overlay,,Line,#1F49FF,,56.340273557,8.492288237,"56.340273557,8.492288237 56.340326333,8.492260074 56.340540408,8.492007946 56.340634065,8.491864448 56.340800568,8.491619026 56.340876385,8.491482233 56.34102133,8.491215354","sm4aa23007",DSB rute,54
54,Overlay,,Line,#1F49FF,,56.340636295,8.49128375,"56.340636295,8.49128375 56.340429653,8.4915627","sm82e4f2ee",DSB rute,54
201,Overlay,,Polygon,#FFB124,#FFB124,56.581924086,8.547502309,"56.581924086,8.547502309 56.581946244,8.547499626 56.581986868,8.547618985 56.58198022,8.547704815 56.582139758,8.547770529 56.582174473,8.547423183 56.581997208,8.547338694 56.58198022,8.547353446 56.58196471,8.54737088 56.581955108,8.547362834 56.581947722,8.547340035 56.581924086,8.547502309","sm9f324aee",DSB rute,201
54 kofeltvej idom,Overlay,,Polygon,#FFB124,,56.340516619,8.492017336,"56.340516619,8.492017336 56.340391742,8.491624392 56.34025906,8.491190545 56.340177295,8.490919642 56.340156482,8.490840516 56.340295483,8.490639351 56.340474623,8.490920983 56.340862633,8.491540573 56.340827697,8.491604946 56.340801681,8.491535208 56.340721404,8.49140378 56.340563822,8.49116104 56.34048057,8.491032294 56.340465705,8.49106448 56.340331164,8.490851244 56.340261292,8.490957191 56.340355693,8.491249552 56.34033488,8.491280398 56.340546354,8.491982466 56.340516619,8.492017336","sm64501a6a",DSB rute,54 kofeltvej idom
