SM Group,SM Title,SM Description,SM Type,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1
48,Overlay,,Line,#1F49FF,,56.31987163,8.716302441,"56.31987163,8.716302441 56.319748173,8.716964947","sm9a249c85",Gunnar najbjerg,48
48,Overlay,,Line,#1F49FF,,56.319572655,8.715763317,"56.319572655,8.715763317 56.319657439,8.71585183 56.319733299,8.715873288 56.319770485,8.715865241 56.319913279,8.715953754","smd4ed2e83",Gunnar najbjerg,48
48,Overlay,,Line,#1F49FF,,56.319502745,8.716138826,"56.319502745,8.716138826 56.319660414,8.716254161","sm11424314",Gunnar najbjerg,48
48,Overlay,,Line,#1F49FF,,56.319871631,8.716256846,"56.319871631,8.716256846 56.319832958,8.716302443 56.31970355,8.716251481 56.319664877,8.71626221 56.31955183,8.716798651","sm46c96746",Gunnar najbjerg,48
48,Overlay,,Line,#1F49FF,,56.319934103,8.717085648,"56.319934103,8.717085648 56.319931128,8.717072237","smc043eb45",Gunnar najbjerg,48
48,Overlay,,Line,#1F49FF,,56.32005161,8.716471422,"56.32005161,8.716471422 56.319934103,8.717085648","smcc655f36",Gunnar najbjerg,48
48,48,,Polygon,#1F49FF,,56.320139583,8.716409025,"56.320139583,8.716409025 56.320080086,8.71637818 56.3200548,8.716472057 56.319872589,8.716358063 56.319877795,8.716218588 56.319926137,8.715936956 56.319958117,8.715911475 56.320151482,8.716032175 56.32011504,8.716296372 56.320149995,8.716348676 56.320139583,8.716409025","smcb171f8a",Gunnar najbjerg,48
