SM Group,SM Title,SM Description,SM Type,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1
Skat,Overlay,,Line,#1F49FF,,56.951485093,8.690500409,"56.951485093,8.690500409 56.951555304,8.690552712 56.951561155,8.690511138 56.951495332,8.690468222 56.951484361,8.690413237 56.951329311,8.690291196 56.951359297,8.690126241 56.951147929,8.689982744","smd40532e3",Thisted,Skat
Biltema,Overlay,,Line,#1F49FF,,56.97116728,8.74388509,"56.97116728,8.74388509 56.97119725,8.74383145 56.97122064,8.74372684 56.97122064,8.74360748 56.97118629,8.7435136 56.9711417,8.74338754 56.97108541,8.74321454 56.97097284,8.74292218 56.97076926,8.74236226 56.97068812,8.74215305 56.97066399,8.74207124 56.97049367,8.74227643 56.97023782,8.74258489 56.97023051,8.74259293 56.970401474,8.743116115","smf7f137be",Thisted,Biltema
Biltema,Overlay,,Polygon,#FFB124,,56.971580284,8.743773775,"56.971580284,8.743773775 56.971552507,8.743760364 56.971523268,8.743771093 56.971456745,8.743840828 56.971432627,8.743854242 56.971404849,8.743848877 56.971384382,8.74381669 56.971328828,8.743679897 56.971317132,8.743701355 56.971290817,8.74386497 56.971257191,8.743902521 56.971165088,8.743915932 56.971184093,8.743878381 56.971232338,8.743736224 56.971229414,8.743604796 56.97103351,8.743054943 56.970665091,8.742051797 56.970192865,8.742608354 56.970235994,8.742719666 56.970347838,8.743079082 56.970377078,8.743139432 56.97027693,8.743261472 56.970341259,8.743354008 56.970295936,8.74341704 56.970113186,8.742922172 56.97013804,8.74288328 56.970096373,8.742766604 56.970081022,8.742593602 56.969926048,8.742124215 56.969832844,8.741707801 56.970022175,8.741471767 56.970483435,8.740907162 56.970774372,8.741752058 56.970800687,8.74171719 56.970812383,8.741679639 56.970809459,8.741612583 56.970897177,8.7418513 56.97086209,8.741832525 56.970837236,8.741840571 56.970821154,8.741864711 56.970930803,8.742157072 56.971430431,8.743591383 56.971427507,8.74362357 56.971384379,8.74361284 56.971396075,8.743653073 56.971414349,8.743702694 56.971451263,8.743712754 56.97148635,8.743664475 56.971502432,8.743624241 56.971502432,8.743589373 56.971502432,8.74356255 56.971580284,8.743773775","sme9d2121c",Thisted,Biltema
Biltema,Overlay,,Line,#EB0920,,56.971184092,8.743527011,"56.971184092,8.743527011 56.971171665,8.743502871","sm507c214d",Thisted,Biltema
Biltema,Overlay,,Line,#EB0920,,56.971032047,8.743107245,"56.971032047,8.743107245 56.971020351,8.743085788","sme0b7395c",Thisted,Biltema
Biltema,Overlay,,Line,#EB0920,,56.970982705,8.742988558,"56.970982705,8.742988558 56.970927881,8.742838354","sm1ad981da",Thisted,Biltema
Biltema,Overlay,,Line,#EB0920,,56.970368306,8.743095178,"56.970368306,8.743095178 56.970358072,8.743101883 56.970344915,8.743065673 56.970354418,8.743046898","sm0b7ef5e7",Thisted,Biltema
Biltema,Overlay,,Line,#EB0920,,56.970314212,8.743454594,"56.970314212,8.743454594 56.970303247,8.74342643","sm0f8922a5",Thisted,Biltema
Politiet,Overlay,,Line,#EB0920,,56.964223386,8.70596469,"56.964223386,8.70596469 56.964153198,8.705890929","smc3d74573",Thisted,Politiet
Politiet,Overlay,,Line,#EB0920,,56.964138576,8.706443466,"56.964138576,8.706443466 56.964117373,8.70650918 56.96413492,8.70653332 56.964142231,8.706552095 56.964137845,8.706578917 56.964130533,8.706597693 56.964116642,8.70660708 56.964099826,8.706593669 56.964091053,8.706562824 56.964095439,8.706521249 56.964110793,8.706470287 56.964121029,8.706430054 56.964083011,8.706391162 56.964091053,8.706348246 56.964140769,8.706395185","sm1c56c072",Thisted,Politiet
Politiet,Overlay,,Line,#1F49FF,,56.96409581,8.707243433,"56.96409581,8.707243433 56.964296136,8.7065702 56.964607592,8.705518774 56.964914658,8.704429796","sm0e3b42de",Thisted,Politiet
Politiet,Overlay,,Polygon,#FFB124,,56.964291746,8.706576909,"56.964291746,8.706576909 56.964133093,8.706429387 56.964153565,8.706365014 56.964122126,8.706334169 56.964238375,8.705927814 56.964388986,8.705449036 56.964190852,8.705249216 56.964174768,8.705242511 56.964160876,8.70525324 56.964147716,8.705304202 56.964155027,8.705341753 56.964173305,8.705365893 56.964193045,8.705357846 56.964211323,8.705336388 56.964288091,8.70541149 56.964144791,8.705894288 56.964088128,8.705839968 56.964043897,8.705796387 56.964033295,8.705806445 56.964024522,8.705822538 56.964015381,8.705844661 56.963990523,8.705817839 56.963995537,8.705798966 56.963998565,8.70576956 56.963992716,8.705744079 56.963981014,8.705725292 56.963963107,8.705704521 56.963994546,8.705613325 56.964104214,8.705237816 56.964120665,8.705187524 56.964136749,8.70515802 56.964175499,8.705129856 56.96420913,8.705140585 56.964378749,8.705313586 56.964468676,8.70540344 56.964598082,8.705530845 56.964571762,8.705626064 56.964506693,8.705569737 56.964275661,8.706381106 56.96433415,8.706433409 56.964291746,8.706576909","sm7b36fe3b",Thisted,Politiet
Wash World,Overlay,,Polygon,#FFB124,,56.968450484,8.734758205,"56.968450484,8.734758205 56.968593767,8.734583862 56.96862447,8.734597273 56.968786759,8.735034473 56.969175665,8.734562404 56.969054316,8.734216399 56.96902215,8.734256632 56.969001682,8.734417565 56.968998758,8.734430976 56.968878869,8.734374649 56.968902262,8.734211035 56.969019226,8.734256632 56.969054316,8.734213717 56.969010454,8.73411984 56.968978289,8.734082288 56.968934427,8.734095699 56.968661022,8.734425611 56.968609849,8.734331733 56.968389077,8.734598613 56.968450484,8.734758205","sm335570b7",Thisted,Wash World
Wash World,Overlay,,Line,#EB0920,,56.968995833,8.734401471,"56.968995833,8.734401471 56.969010454,8.734267361 56.968905186,8.734224446 56.968886179,8.734363921 56.968989985,8.734409518","sm110a29f4",Thisted,Wash World
