SM Group,SM Title,SM Description,SM Type,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1
6,Overlay,,Polygon,#FFB124,,56.133178729,9.037230423,"56.133178729,9.037230423 56.133343146,9.037241152 56.133319231,9.038356952 56.1332714,9.038348905 56.132556929,9.038292579 56.132461266,9.0380029 56.132598781,9.0380029 56.132598781,9.038067273 56.133005343,9.038088731 56.133002355,9.038246982 56.133145846,9.038246982 56.133178729,9.037230423","smb9407b6c",Jonas,6
6,Overlay,,Polygon,#FFB124,,56.133157804,9.037005118,"56.133157804,9.037005118 56.133166772,9.036854914 56.133062143,9.036699346 56.132912672,9.036704711 56.132912672,9.0365706 56.132843915,9.036538414 56.132846905,9.036693982 56.132808042,9.036688617 56.132787116,9.036978296 56.133157804,9.037005118","sm24a5618d",Jonas,6
11,Overlay,,Polygon,#FFB124,,56.187102521,8.753758476,"56.187102521,8.753758476 56.186896541,8.753602908 56.186756235,8.753468797 56.186675634,8.753393696 56.1866219,8.753404424 56.186562194,8.753452704 56.186502489,8.753570721 56.186374123,8.753790663 56.186311433,8.75390868 56.186314418,8.753962324 56.18633233,8.754015968 56.186350241,8.754064248 56.186380094,8.754112528 56.186842807,8.754536317 56.186866688,8.754445122 56.186612944,8.754230545 56.186371138,8.754010604 56.186374123,8.753951595 56.186386064,8.753881858 56.186412932,8.753849671 56.186424873,8.753876493 56.186586076,8.753608272 56.186568165,8.753570721 56.186630855,8.753479526 56.186657722,8.753479526 56.186723397,8.753517077 56.187072668,8.7538604 56.187102521,8.753758476","sm3b5eb671",Jonas,11
