SM Type,SM Group,SM Title,SM Description,SM Latitude,SM Longitude,SM Coordinates,smapsID,Niveau,Område,Storkunde,By,Adresse,Plads navn,post nr,KodeNøgle,Strømiddel,App,Ejendomskontakt,Dage,title,Bemærkning,SM Group 0,SM Group 1,SM Group 2,SM Group 3
Polygon,Food parken 4 7900 Mors Agri- Nordcold,Overlay,,56.820409404,8.78292899,"56.820409404,8.78292899 56.820406469,8.782864617 56.820403533,8.782800244 56.820510688,8.78251593 56.820534174,8.782502519 56.8206061,8.782550799 56.820576742,8.782615172 56.820923159,8.783036279 56.820978937,8.782883393 56.820959855,8.782837795 56.8206472,8.782451557 56.820582614,8.782328175 56.820707383,8.782000946 56.820741145,8.781966079 56.82077197,8.78197949 56.820890867,8.782118965 56.821058202,8.782314766 56.821078752,8.78225844 56.821058202,8.782226253 56.821144806,8.782014358 56.82100536,8.781850744 56.820995085,8.78183465 56.820912885,8.781719315 56.820974535,8.781547654 56.820942242,8.781488646 56.821044992,8.7812392 56.821147741,8.781362582 56.821268105,8.781059491 56.821293058,8.781088996 56.821388468,8.780850279 56.821613047,8.781115818 56.821661486,8.780976343 56.821093431,8.780297744 56.820838024,8.780981707 56.820927563,8.781086314 56.82093637,8.781137275 56.820870316,8.781327711 56.820629586,8.781987534 56.820437295,8.782518613 56.820362433,8.78270905 56.8203228,8.782765376 56.82026702,8.782768058 56.820409404,8.78292899","sm5a682aa0",,,,,,,,,,,,,,,Tilbud,Food parken 4 7900 Mors Agri- Nordcold
Marker,Udkald på bestilling,999,,56.414704,8.7314149,"56.414704,8.7314149","sm8430e329",Udkald på bestilling,Administativ,Ingen,Holstebro,Nørre hvamvej 8,Administrativ prik Udkald på bestilling alle,7500,0,0,0,s,AlleDage,999,,List Import,Udkald på bestilling
Marker,Spare,999,,56.414704,8.7314149,"56.414704,8.7314149","sm5be3501c",Spare,Administativ,Ingen,Holstebro,Nørre hvamvej 8,Administrativ prik Spare alle,7500,0,0,0,s,AlleDage,999,,List Import,Spare
Marker,VIP,2,,55.817332,8.1964539,"55.817332,8.1964539","smc57682c1",VIP,SkjernLemvigThistedMors,Forsvaret Syd,Nørre Nebel,Vesterhavsvej 302,Nymindegab Kaserne 499,6830,Forstasnøgleboks 0499,0,KsForstas,s,AlleDage,2,,List Import,VIP
Marker,VIP,3,,55.9114697,8.5350232,"55.9114697,8.5350232","smb2701b1c",VIP,SkjernLemvigThistedMors,falck,Tarm,Nørremarksvej 2,Nørremarksvej 2 Falck Tarm,6880,0,0,IngenApp,s,AlleDage,3,,List Import,VIP
Marker,VIP,5,,55.9355314,8.5054025,"55.9355314,8.5054025","smd0e1886d",VIP,SkjernLemvigThistedMors,Lidl,Skjern,Vardevej 87,Vardevej 87 Lidl Skjern,6900,0,0,IngenApp,s,AlleDage,5,,List Import,VIP
Marker,VIP,4,,55.9515473,8.5124919,"55.9515473,8.5124919","smb7ae317c",VIP,SkjernLemvigThistedMors,Postnord,Skjern,Farverivej 10,Farvervej 10 PostNord Skjern,6900,0,Vejsalt,IngenApp,22734135,AlleDage,4,Posten starter kl 04:55,List Import,VIP
Marker,VIP,999,,56.414704,8.7314149,"56.414704,8.7314149","sm7d46e8eb",VIP,Administativ,Ingen,Holstebro,Nørre hvamvej 8,Administrativ prik Vip alle,7500,0,0,0,s,AlleDage,999,,List Import,VIP
Marker,Lav,7,,55.951541,8.5045984,"55.951541,8.5045984","sm9b1e5103",Lav,SkjernLemvigThistedMors,Cirkel K,Skjern,Østergade 83,Østergade 83 CirkelK Skjern,6900,0,0,IngenApp,s,AlleDage,7,Køres så lidt som muligt,List Import,Lav
Marker,Lav,999,,56.414704,8.7314149,"56.414704,8.7314149","sm113b8768",Lav,Administativ,Ingen,Holstebro,Nørre hvamvej 8,Administrativ prik Lav alle,7500,0,0,0,s,AlleDage,999,,List Import,Lav
Marker,Høj,6,,56.0209173,8.3740581,"56.0209173,8.3740581","smf1bbef63",Høj,SkjernLemvigThistedMors,Baettr,lem,Smed Hansensvej 27,Smed Hansensvej 27 Baettr Lem,6940,0,0,IngenApp,s,AlleDage,6,prøv at holde det ved max 2 kørsler pr dag hvis muligt,List Import,Høj
Marker,Høj,999,,56.414704,8.7314149,"56.414704,8.7314149","sm942304e6",Høj,Administativ,Ingen,Holstebro,Nørre hvamvej 8,Administrativ prik høj alle,7500,0,0,0,s,AlleDage,999,,List Import,Høj
Marker,Høj,9,,55.8620686,8.5015789,"55.8620686,8.5015789","sm9c3b46ab",Høj,SkjernLemvigThistedMors,Afld,Tarm,Vardevej 83a,Vardevej 83A Afld Tarm,6880,0,Vejsalt,0,s,AlleDage,9,,List Import,Høj
Marker,Høj,8,,55.960406544,8.501843488,"55.960406544,8.501843488","smd0603343",Høj,SkjernLemvigThistedMors,Velux,Skjern,Bækgårdsvej 38,Bækgårdsvej 38 Velux Skjern,6900,Bom,0,0,0,KunHverdage,8,,List Import,Høj
Marker,skat,404,,56.9516834,8.6903853,"56.9516834,8.6903853","smd53e830d",skat,SkjernLemvigThistedMors,Bygningsstyrelsen,Thisted,Thisted kystvej 4,Thisted Kystvej 4 Skat Thisted,7700,0,0,Vinterman,0,,404,0,List Import,skat
Marker,Høj,203,,56.5483639,8.3034956,"56.5483639,8.3034956","sme3fdca3a",Høj,SkjernLemvigThistedMors,Bygningsstyrelsen,Lemvig,Højbovej 1,Højbovej 1 Bygningsstyrelsen Lemvig,7620,0,0,0,0,,203,0,List Import,Høj
Marker,Høj,204,,56.5479431,8.3040843,"56.5479431,8.3040843","smd73f040e",Høj,SkjernLemvigThistedMors,Bygningsstyrelsen,Lemvig,Højbovej 4,Højbovej 4 Bygningsstyrelsen Lemvig,7620,0,0,0,0,,204,0,List Import,Høj
Marker,Høj,401,,56.9554063,8.6884652,"56.9554063,8.6884652","sm4e63f035",Høj,SkjernLemvigThistedMors,Bygningsstyrelsen,Thisted,Skovgade 30,Skovgade 30 Domhuset Thisted,7700,0,0,0,0,,401,0,List Import,Høj
Marker,Høj,402,,56.8214958,8.7820002,"56.8214958,8.7820002","sm50cd0f27",Høj,SkjernLemvigThistedMors,Agri-Nordcold a/s,Nykøbing Mors,Foodparken 4,Foodparken 4 Agri-Nordcold Mors,7900,Kode nøgleboks 7900,0,IngenApp,0,,402,0,List Import,Høj
Marker,Høj,403,,56.7981731,8.8659622,"56.7981731,8.8659622","smb1d3aed4",Høj,SkjernLemvigThistedMors,Politiet,Nykøbing Mors,Tingvej 1,Tingvej 1 Politiet Mors,7900,0,0,KsForstas,0,,403,0,List Import,Høj
Marker,Høj,405,,56.9639195,8.706258,"56.9639195,8.706258","sm60598c85",Høj,SkjernLemvigThistedMors,Politiet,Thisted,Kronborgvej 111,Kronborgvej 111 Politiet Thisted,7700,0,0,KsForstas,0,,405,0,List Import,Høj
Marker,Høj,406,,56.9707178,8.7423541,"56.9707178,8.7423541","sm5467feb1",Høj,SkjernLemvigThistedMors,Biltema,Thisted,Uglevej 6,Uglevej 6 Biltema Thisted,7700,0,0,IngenApp,0,,406,0,List Import,Høj
Marker,Høj,407,,56.9689321,8.7343748,"56.9689321,8.7343748","sm45683232",Høj,SkjernLemvigThistedMors,Wash world,Thisted,Østerbakken 111,Wash world Østerbakken 111 thisted,7700,0,Vejsalt,IngenApp,0,,407,"kun 1 udkald pr døgn. Ved flere, bliver det bestilt på timepris",List Import,Høj
Marker,Udkald på bestilling,0,,55.6611434,8.5407668,"55.6611434,8.5407668","sm54fd82ff",Udkald på bestilling,SkjernLemvigThistedMors,Forsvaret Syd,Varde,Adresse mangler,Varde skyde bane 493,6800,0,0,KsForstas,0,,0,0,List Import,Udkald på bestilling
Marker,Udkald på bestilling,0,,55.6611434,8.5407668,"55.6611434,8.5407668","smd8806785",Udkald på bestilling,SkjernLemvigThistedMors,Forsvaret Syd,Varde,Adresse mangler,Varde øvelsesplads 492,6800,0,0,KsForstas,0,,0,0,List Import,Udkald på bestilling
