SM Type,SM Group,SM Title,SM Description,SM Latitude,SM Longitude,SM Coordinates,smapsID,Plads navn,Adresse,post nr,By,Niveau,Dage,KodeNøgle,Strømiddel,App,Storkunde,Ejendomskontakt,Område,title,Bemærkning,SM Group 0,SM Group 1,SM Group 2
Marker,VIP,1,,56.1323717,8.9894139,"56.1323717,8.9894139","sm4b57b34a",Haraldsgade 30 Politiet Herning,Haraldsgade 30,7400,Herning,VIP,AlleDage,0,Vejsalt,KsForstas,Politiet,0,HerningKarupBorisIkast,1,,List 13/11-2025,VIP
Marker,VIP,3,,56.1469207,8.9456637,"56.1469207,8.9456637","smc756c92c","Beredskabsstyrelsen midtjylland, Øvelsesplads A",HP Hansensvej 96,7400,Herning,VIP,AlleDage,0,Vejsalt,KsForstas,Forsvaret Midt,0,HerningKarupBorisIkast,3,,List 13/11-2025,VIP
Marker,VIP,4,,56.1451838,8.9458557,"56.1451838,8.9458557","sme7d19f40",Beredskabsstyrelsen midtjylland A,HP Hansensvej 100,7400,Herning,VIP,AlleDage,0,Vejsalt,KsForstas,Forsvaret Midt,0,HerningKarupBorisIkast,4,,List 13/11-2025,VIP
Marker,VIP,16,,56.1486937,8.9398858,"56.1486937,8.9398858","smce73c15c",Ålykkevej 5 HerningVand Herning,Egeløkkevej 11,7400,Herning,VIP,KunHverdage,udleverret brik,Vejsalt,IngenApp,HerningVand,0,HerningKarupBorisIkast,16,,List 13/11-2025,VIP
Marker,VIP,999,,56.414704,8.7314149,"56.414704,8.7314149","sm0551d415",Administrativ prik Vip alle,Nørre hvamvej 8,7500,Holstebro,VIP,AlleDage,0,0,0,Ingen,s,Administativ,999,,List 13/11-2025,VIP
Marker,Udkald på bestilling,999,,56.414704,8.7314149,"56.414704,8.7314149","sm9ec5aa0a",Administrativ prik Udkald på bestilling alle,Nørre hvamvej 8,7500,Holstebro,Udkald på bestilling,AlleDage,0,0,0,Ingen,s,Administativ,999,,List 13/11-2025,Udkald på bestilling
Marker,Spare,999,,56.414704,8.7314149,"56.414704,8.7314149","sm21a2b623",Administrativ prik Spare alle,Nørre hvamvej 8,7500,Holstebro,Spare,AlleDage,0,0,0,Ingen,s,Administativ,999,,List 13/11-2025,Spare
Marker,Lav,7,,56.1383997,8.9842974,"56.1383997,8.9842974","sm2e178b6f","Fynsgade 25, Herning",Fynsgade 25,7400,Herning,Lav,AlleDage,0,Vejsalt,IngenApp,Ingen,0,HerningKarupBorisIkast,7,,List 13/11-2025,Lav
Marker,Lav,8,,56.1393873,8.9892908,"56.1393873,8.9892908","sm836d118f","Sjællandsgade 55, Herning",Sjællandsgade 55,7400,Herning,Lav,AlleDage,0,Vejsalt,IngenApp,Ingen,0,HerningKarupBorisIkast,8,,List 13/11-2025,Lav
Marker,Lav,9,,56.1352364,8.9833653,"56.1352364,8.9833653","smfe2dc520",Silkeborgvej 3 herning,Silkeborgvej 3 herning,7400,Herning,Lav,AlleDage,0,Vejsalt,IngenApp,Ingen,0,HerningKarupBorisIkast,9,,List 13/11-2025,Lav
Marker,Lav,10,,56.1352529,8.9832718,"56.1352529,8.9832718","sm9c36bdbc",Silkeborgvej 1 herning,Silkeborgvej 1 herning,7400,Herning,Lav,AlleDage,0,Vejsalt,IngenApp,Ingen,0,HerningKarupBorisIkast,10,,List 13/11-2025,Lav
Marker,Lav,12,,56.1462928,8.9928925,"56.1462928,8.9928925","sm9e5c415d",Valeursvej 15 N1 Herning,Valeursvej 15,7400,Herning,Lav,AlleDage,nej,Vejsalt,IngenApp,N1,nej,HerningKarupBorisIkast,12,nej,List 13/11-2025,Lav
Marker,Lav,13,,56.13562,8.9853994,"56.13562,8.9853994","smfbd70726",Siøvej 8 N1 Herning,Siøvej 8,7400,Herning,Lav,AlleDage,nej,Vejsalt,IngenApp,N1,nej,HerningKarupBorisIkast,13,nej,List 13/11-2025,Lav
Marker,Lav,14,,56.1400868,8.9550268,"56.1400868,8.9550268","sma20f1bd0",Glentevej 1 N1 Herning,Glentevej 1,7400,Herning,Lav,AlleDage,nej,Vejsalt,IngenApp,N1,nej,HerningKarupBorisIkast,14,nej,List 13/11-2025,Lav
Marker,Lav,15,,56.1367639,8.9471227,"56.1367639,8.9471227","smaf523850",Baldersvej 4a N1 Herning,Baldersvej 4a,7400,Herning,Lav,AlleDage,nej,Vejsalt,IngenApp,N1,nej,HerningKarupBorisIkast,15,nej,List 13/11-2025,Lav
Marker,Lav,18,,55.8171585,9.3471363,"55.8171585,9.3471363","sm8d6d3e2c",Vejlevej 74A Heimstad Givskud,Vejlevej 74A,7323,Give,Lav,AlleDage,nej,Vejsalt,IngenApp,Heimstaden,nej,HerningKarupBorisIkast,18,nej,List 13/11-2025,Lav
Marker,Lav,20,,56.3144815,9.181429,"56.3144815,9.181429","sm7b6a7ecd",Fasanvænget 5-33  Karup,Fasanvænget 5,7470,Karup J,Lav,AlleDage,0,0,IngenApp,Heimstaden,0,HerningKarupBorisIkast,20,,List 13/11-2025,Lav
Marker,Lav,21,,55.8302929,9.5337659,"55.8302929,9.5337659","smbdf70122",Guldagerparken 10 Alfabo Ølholm,Guldagerparken 10,7160,Tørring,Lav,AlleDage,0,0,0,Alfabo,0,HerningKarupBorisIkast,21,,List 13/11-2025,Lav
Marker,Lav,22,,55.8468381,9.4862979,"55.8468381,9.4862979","sma7c5cc07",fortov i tørring skriv adresse,Sønderbrogade 58,7160,Tørring,Lav,AlleDage,nej,Vejsalt,KsForstas,N1,nej,HerningKarupBorisIkast,22,nej,List 13/11-2025,Lav
Marker,Lav,0,,55.9558297,8.6551059,"55.9558297,8.6551059","sm53452f90",Skolevænget 44 Go'on Boris,Skolevænget 44,6900,Skjern,Lav,AlleDage,0,0,IngenApp,Go'on,0,HerningKarupBorisIkast,0,,List 13/11-2025,Lav
Marker,Lav,999,,56.414704,8.7314149,"56.414704,8.7314149","smf84d2223",Administrativ prik Lav alle,Nørre hvamvej 8,7500,Holstebro,Lav,AlleDage,0,0,0,Ingen,s,Administativ,999,,List 13/11-2025,Lav
Marker,Høj,2,,56.1329193,8.9749043,"56.1329193,8.9749043","sm0c6fe0f1",BDK Herning strier,museumsgade 51 b,7400,Herning,Høj,AlleDage,0,Vejsalt,KsForstas,banedanmark,0,HerningKarupBorisIkast,2,,List 13/11-2025,Høj
Marker,Høj,5,,56.1363079,8.962252,"56.1363079,8.962252","sm88a300b5",Vestergade 24 PureGym Herning,Vestergade 24,7400,Herning,Høj,AlleDage,0,Vejsalt,IngenApp,PureGym,0,HerningKarupBorisIkast,5,,List 13/11-2025,Høj
Marker,Høj,6,,56.1328337,9.0375323,"56.1328337,9.0375323","sm8ee79524","Industrivej syd 11, Herning.",Industrivej syd 11,7400,Herning,Høj,KunHverdage,0,Vejsalt,Tolstrup Chafførapp,Andre,0,HerningKarupBorisIkast,6,,List 13/11-2025,Høj
Marker,Høj,11,,56.186763,8.7541743,"56.186763,8.7541743","sm2d47d9c1",Åbjergvænget 2-4 vildbjerg,Åbjergvænget 4b,7480,Vildbjerg,Høj,AlleDage,0,Vejsalt,IngenApp,Vea,0,HerningKarupBorisIkast,11,,List 13/11-2025,Høj
Marker,Høj,17,,56.13048,8.9071955,"56.13048,8.9071955","sm237e76a8",P.Andersens have Vea Herning,P.Andersens Have 5,7400,Herning,Høj,AlleDage,0,Vejsalt,IngenApp,Vea,0,HerningKarupBorisIkast,17,3 mollokområder til hånd,List 13/11-2025,Høj
