SM Type,SM Group,SM Title,SM Description,SM Latitude,SM Longitude,SM Coordinates,smapsID,Plads navn,Adresse,post nr,By,Niveau,KodeNøgle,Strømiddel,App,Storkunde,Ejendomskontakt,Område,Dage,Status,title,Bemærkning,SM Group 0,SM Group 1,SM Group 2,SM Group 3,SM Group 4
Marker,VIP,74,,56.447509778,9.390711028,"56.447509778,9.390711028","sm4c64eb77",Wilhelm Ehlerts alle 11- 21 Viborg,Wilhelm Ehlerts Alle 11,8800,Viborg,VIP,0,Vejsalt,0,Ingen,0,ViborgSkive,AlleDage,,74,Pladsen kører som VIP pga det meget frostfølsomme parkeringsdæk,List 3/10-2025,VIP
Marker,VIP,76,,56.4505065,9.3764106,"56.4505065,9.3764106","sme31f57df",Læsøvej 9 GoColektive Viborg,Læsøvej 9,8800,Viborg,VIP,0,0,0,Ariva,0,,AlleDage,,76,,List 3/10-2025,VIP
Marker,VIP,Ø70,,56.455423229,9.358159642,"56.455423229,9.358159642","sm4cb78864",Mariendalsvej 9 dagrofa viborg,Mariendalsvej 9,8800,Viborg,VIP,0,Vejsalt,0,Dagrofa,0,ViborgSkive,AlleDage,,Ø70,,List 3/10-2025,VIP
Marker,Spare,999,,56.414704,8.7314149,"56.414704,8.7314149","sme0bf73c8",Administrativ prik Spare alle,Nørre hvamvej 8,7500,Holstebro,Spare,0,0,0,Ingen,0,Administativ,AlleDage,Aktiv,999,,List 3/10-2025,Spare
Marker,Spare,12,,56.448322,9.385842,"56.448322,9.385842","sm812fe5d5",Fasanvej 30 viborg,Fasanvej 30,8800,Viborg,Spare,0,0,IngenApp,snevagten andre,0,ViborgSkive,AlleDage,Aktiv,12,,List 3/10-2025,Spare
Marker,Spare,202,,56.5387826,9.032441,"56.5387826,9.032441","smf2be0078",Gemsevej 4 skive,Gemsevej 4,7800,Skive,Spare,0,0,IngenApp,snevagten andre,0,ViborgSkive,AlleDage,Aktiv,202,,List 3/10-2025,Spare
Marker,Spare,39,,56.4483055,9.4016721,"56.4483055,9.4016721","sm99ca096a",Sparregade 2a Viborg,Sparregade 2A,8800,Viborg,Spare,0,0,IngenApp,Snevagten,0,ViborgSkive,AlleDage,Aktiv,39,,List 3/10-2025,Spare
Marker,Spare,33,,56.46508,9.390864,"56.46508,9.390864","sm4d77eac9",Pebermyntevej 69 Viborg,Pebermyntevej 69,8800,Viborg,Spare,0,0,IngenApp,Snevagten,0,ViborgSkive,AlleDage,Aktiv,33,,List 3/10-2025,Spare
Marker,Spare,25,,56.4693383,9.4131269,"56.4693383,9.4131269","smb92b3653",Industrivej 28 Silvan Viborg,Industrivej 28,8800,Viborg,Spare,Nøgleboks 6400,0,IngenApp,silvan,0,ViborgSkive,AlleDage,Aktiv,25,,List 3/10-2025,Spare
Marker,Spare,3,,56.4665778,9.4037557,"56.4665778,9.4037557","smc882bfaf",Industrivej 5 Aplus Viborg,Industrivej 5,8800,Viborg,Spare,0,Vejsalt,0,A plus,0,ViborgSkive,AlleDage,,3,,List 3/10-2025,Spare
Marker,Høj,Ø83,,56.4871683,9.1505436,"56.4871683,9.1505436","smca6c80e6",Stationsvej Dsb Stoholm,Stationsvej,7850,Stoholm,Høj,0,Vejsalt,0,dsb,0,ViborgSkive,AlleDage,Aktiv,Ø83,,List 3/10-2025,Høj
Marker,Høj,Ø86,,56.4474303,9.3985312,"56.4474303,9.3985312","sm0bdc179a",Banegårdspladsen 2 Dsb Viborg,Banegårdspladsen 2,8800,Viborg,Høj,0,Vejsalt,0,dsb,0,ViborgSkive,AlleDage,Aktiv,Ø86,,List 3/10-2025,Høj
Marker,Høj,207,,56.5686587,9.0271181,"56.5686587,9.0271181","sm123938c0",Nørregade 17 Skive,Nørregade 17,7800,Skive,Høj,0,0,IngenApp,Ingen,0,ViborgSkive,AlleDage,Aktiv,207,,List 3/10-2025,Høj
Marker,Høj,215,,56.5615671,9.0416741,"56.5615671,9.0416741","smcc7975a5",Øster fælledvej 4 Washwoeld skive,Øster fælled vej 4,7800,Skive,Høj,0,Vejsalt,IngenApp,Wash world,0,ViborgSkive,AlleDage,Aktiv,215,"kun 1 udkald pr døgn. Ved flere, bliver det bestilt på timepris",List 3/10-2025,Høj
Marker,Høj,10,,56.4441546,9.3886167,"56.4441546,9.3886167","sm18d3f2a7",Falkevej 25 Washworld Viborg,Falkevej 25,8800,Viborg,Høj,0,Vejsalt,IngenApp,Wash world,0,ViborgSkive,AlleDage,Aktiv,10,"kun 1 udkald pr døgn. Ved flere, bliver det bestilt på timepris",List 3/10-2025,Høj
Marker,Høj,42,,56.469323481,9.409463494,"56.469323481,9.409463494","smb13b7f15",Vognmagervej 21 Washworld Viborg,Vognmagervej 21,8800,Viborg,Høj,0,Vejsalt,IngenApp,Wash world,0,ViborgSkive,AlleDage,Aktiv,42,"kun 1 udkald pr døgn. Ved flere, bliver det bestilt på timepris",List 3/10-2025,Høj
Marker,Høj,5,,56.4186936,9.4405333,"56.4186936,9.4405333","sm85ea8cb3",Bronzehøj 2A-48 GF Viborg,Bronzehøj 2A,8800,Viborg,Høj,0,0,IngenApp,Andre GF,0,ViborgSkive,AlleDage,Aktiv,5,,List 3/10-2025,Høj
Marker,Høj,26,,56.4542555,9.3658144,"56.4542555,9.3658144","sm8a79dfcc",Jegindøvej 4 Epta Viborg,Jegindøvej 4,8800,Viborg,Høj,0,0,0,Ingen,0,ViborgSkive,KunHverdage,Aktiv,26,,List 3/10-2025,Høj
