SM Group,SM Title,SM Description,SM Type,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1,SM Group 2,SM Group 3,SM Group 4
Crossbright,Overlay,,Line,#FFB124,,55.592948744,9.744022241,"55.592948744,9.744022241 55.592948744,9.744100025","smd9904e40",Fredericia,Stor saltspreder,Ms Entrepernør,Crossbright
Crossbright,Overlay,,Line,#8119E6,,55.595204541,9.747810495,"55.595204541,9.747810495 55.595204541,9.747853411","sm356145ce",Fredericia,Stor saltspreder,Ms Entrepernør,Crossbright
238,Overlay,,Polygon,#FFB124,,55.592024146,9.735014246,"55.592024146,9.735014246 55.592077195,9.735081301 55.592098414,9.735148356 55.592130243,9.735320017 55.592126454,9.735566781 55.5920825,9.735558735 55.592083258,9.735475586 55.591937754,9.735483633 55.591936238,9.735758559 55.5920825,9.735751854 55.592080984,9.73567407 55.592124181,9.735675411 55.592123423,9.735741125 55.592104477,9.735774652 55.592093868,9.735780017 55.59174981,9.735785381 55.591511089,9.735810861 55.591493659,9.735876575 55.591480018,9.736235991 55.59148608,9.736337915 55.591502753,9.736442521 55.591533067,9.736540422 55.591576264,9.736630276 55.59162325,9.73668392 55.591713433,9.736697331 55.591916534,9.736693308 55.591989287,9.73668526 55.592039304,9.736675872 55.592077196,9.73664905 55.592100689,9.73660077 55.59212115,9.736533715 55.592154495,9.736345961 55.592181777,9.73618771 55.592190871,9.736038848 55.592152979,9.736040189 55.592140854,9.736167594 55.592084774,9.736481412 55.591979435,9.736482753 55.59197792,9.736614181 55.591681605,9.736630275 55.591650531,9.736604794 55.591634617,9.73658736 55.591620218,9.736531033 55.591617944,9.736250742 55.591901376,9.736237331 55.592127211,9.736240015 55.592143883,9.736138091 55.591736168,9.736159549 55.591546707,9.73615955 55.59154898,9.735935586 55.591896829,9.735912787 55.592122664,9.735926199 55.59214161,9.735898036 55.592153735,9.735898036 55.592152977,9.736038852 55.592193142,9.736034828 55.592187837,9.735631156 55.592191628,9.735192616 55.592199964,9.735141654 55.592218909,9.735108127 55.59226059,9.735065211 55.592326521,9.735034366 55.592024146,9.735014246","sm01388ee8",Fredericia,Stor saltspreder,Ms Entrepernør,238
265,Overlay,,Polygon,#FFB124,,55.592611571,9.734925966,"55.592611571,9.734925966 55.592566102,9.73483477 55.592557008,9.734730164 55.59254943,9.733558039 55.592599446,9.733402471 55.592626728,9.733257632 55.592614603,9.73311011 55.592520633,9.733120839 55.592500929,9.733088652 55.592441819,9.733059148 55.592161422,9.733077924 55.591974995,9.73306183 55.591612749,9.733069877 55.591038301,9.733077922 55.590495675,9.733080606 55.590309241,9.733069877 55.59017434,9.733024279 55.590106132,9.733024279 55.590037923,9.733096699 55.590018219,9.733257631 55.590048534,9.733423928 55.590097038,9.733461479 55.590313788,9.733440022 55.590583588,9.733402469 55.591352053,9.733405151 55.591641549,9.733386374 55.592209926,9.733351506 55.592369071,9.733375643 55.592361492,9.733273719 55.591849198,9.733321999 55.591253532,9.733346139 55.590770022,9.733348824 55.590560853,9.733359553 55.590407765,9.733362235 55.590250128,9.733381011 55.590157668,9.733372964 55.590092491,9.733305909 55.590083397,9.733249582 55.590098554,9.733174481 55.590144027,9.733128883 55.590489614,9.733142294 55.590976159,9.733120836 55.591515749,9.733123513 55.592046235,9.733123513 55.592202347,9.733136922 55.592273583,9.733128876 55.592408476,9.733144969 55.592447883,9.73315838 55.592467587,9.733217388 55.592455462,9.733265668 55.592370585,9.733279079 55.592355429,9.733279079 55.592369069,9.733367592 55.592435758,9.733541936 55.592438789,9.734716743 55.592502447,9.734730154 55.592502447,9.734813303 55.592473649,9.734866947 55.592432727,9.734912545 55.592611571,9.734925966","sma15c6cc9",Fredericia,Stor saltspreder,Ms Entrepernør,265
262,Overlay,,Polygon,#FFB124,,55.591570759,9.760667472,"55.591570759,9.760667472 55.59157379,9.760801582 55.592251295,9.760809629 55.592290702,9.760817675 55.5923195,9.760860591 55.59229828,9.763631313 55.591976959,9.763631313 55.591976959,9.76416239 55.592289186,9.764170435 55.592284639,9.765052882 55.591557119,9.765071662 55.591566213,9.763014407 55.591491944,9.763011725 55.591478305,9.765047523 55.591288844,9.765044841 55.591296422,9.764468166 55.591214575,9.764470848 55.591217606,9.765235278 55.591184261,9.765235278 55.59101147,9.765248689 55.59101147,9.765423032 55.591029659,9.765423032 55.591288843,9.765433761 55.591291875,9.765232596 55.591317642,9.765173587 55.591481336,9.765176269 55.591481336,9.765683207 55.591197902,9.765683207 55.591191839,9.766648802 55.590934169,9.766632709 55.590940232,9.767260346 55.591069066,9.767260344 55.591311578,9.76723084 55.591316125,9.76730326 55.591799629,9.767319352 55.592874229,9.767362267 55.592877257,9.767212061 55.592783288,9.767212061 55.592792382,9.766680984 55.592340719,9.766659526 55.592355876,9.765318421 55.592355876,9.76519504 55.592525628,9.765211133 55.59252866,9.766353754 55.592792382,9.766369847 55.592798444,9.765211133 55.592901507,9.765216497 55.592901507,9.765055565 55.592346782,9.765039472 55.592351329,9.764143615 55.592402861,9.760715752 55.591570759,9.760667472","smcc8454b1",Fredericia,Stor saltspreder,Ms Entrepernør,262
262,Overlay,,Polygon,#FFB124,,55.591589703,9.765244663,"55.591589703,9.765244663 55.591589703,9.765244912 55.591589762,9.76524517 55.591589801,9.765244663 55.591589703,9.765244663","smf72dbeb7",Fredericia,Stor saltspreder,Ms Entrepernør,262
212 kasserne KUN PÅ BESTILLING,Overlay,,Polygon,#FFB124,,55.591072542,9.73656488,"55.591072542,9.73656488 55.590554167,9.736570244 55.59051779,9.736572926 55.590513243,9.735937243 55.590545073,9.735939925 55.590554167,9.736489779 55.590554168,9.736515257 55.590663299,9.736505869 55.59068073,9.736475023 55.590825481,9.736471001 55.590852006,9.736499164 55.591070268,9.736489776 55.591072542,9.73656488","smdd94da67",Fredericia,Stor saltspreder,Ms Entrepernør,212 kasserne KUN PÅ BESTILLING
212 kasserne KUN PÅ BESTILLING,Overlay,,Line,#1F49FF,,55.590715591,9.736472342,"55.590715591,9.736472342 55.590713318,9.736275199","sm7decf93a",Fredericia,Stor saltspreder,Ms Entrepernør,212 kasserne KUN PÅ BESTILLING
212 kasserne KUN PÅ BESTILLING,Overlay,,Line,#EB0920,,55.590707255,9.736344937,"55.590707255,9.736344937 55.590557199,9.736354325","sm0f0a73b1",Fredericia,Stor saltspreder,Ms Entrepernør,212 kasserne KUN PÅ BESTILLING
257,Overlay,,Polygon,#FFB124,,55.566476523,9.767166848,"55.566476523,9.767166848 55.566444673,9.767317052 55.56598209,9.767306323 55.56598209,9.767161484 55.566479556,9.767180259 55.566485623,9.767164166 55.566476523,9.767166848","smc91f411a",Fredericia,Stor saltspreder,Ms Entrepernør,257
