SM Group,SM Title,SM Description,SM Type,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1,SM Group 2
Ålykkevej 5 Herningvand,Overlay,,Line,#2F46E1,,56.146506552,8.941578044,"56.146506552,8.941578044 56.146470692,8.942001833 56.146479657,8.942028656 56.146494599,8.941991104 56.146829294,8.941626324","sm9d8ef788",Pilgaard,Ålykkevej 5 Herningvand
Ålykkevej 5 Herningvand,Overlay,,Line,#2F46E1,,56.146452762,8.94230224,"56.146452762,8.94230224 56.146536436,8.942549004","sm211d3d95",Pilgaard,Ålykkevej 5 Herningvand
Ålykkevej 5 Herningvand,Overlay,,Line,#2F46E1,,56.146174843,8.941747024,"56.146174843,8.941747024 56.146212197,8.941886499","sm63548cdc",Pilgaard,Ålykkevej 5 Herningvand
Ålykkevej 5 Herningvand,Overlay,,Line,#2F46E1,,56.146960781,8.942205681,"56.146960781,8.942205681 56.146993653,8.942275418 56.146993653,8.942339791 56.146996641,8.942430986 56.147017559,8.942549003 56.147044454,8.942613376 56.147101232,8.94276358 56.147125139,8.942838682 56.14715801,8.942935242 56.147172952,8.943004979 56.14719387,8.94309081 56.147235706,8.943165912 56.147274554,8.943305386 56.147313402,8.943385853","sm67f057af",Pilgaard,Ålykkevej 5 Herningvand
Ålykkevej 5 Herningvand,Overlay,,Line,#2F46E1,,56.14658425,8.941460027,"56.14658425,8.941460027 56.146390006,8.941685333","sm41c03557",Pilgaard,Ålykkevej 5 Herningvand
Ålykkevej 5 Herningvand,Overlay,,Polygon,#FFB124,,56.145911254,8.939881328,"56.145911254,8.939881328 56.14551276,8.940244322 56.145599486,8.940527056 56.145593509,8.940569972 56.14562937,8.94039831 56.14585649,8.94021592 56.145934188,8.940462683 56.146173258,8.94132099 56.146234609,8.941502271 56.146201737,8.941588102 56.146143463,8.941663205 56.14609266,8.941679297 56.146073236,8.941655157 56.146082202,8.941602185 56.146174095,8.941506967 56.145996285,8.940916881 56.14589169,8.940601721 56.145837899,8.940569534 56.145802038,8.940615132 56.145779624,8.940706326 56.14573928,8.940717055 56.145697442,8.940759971 56.146012721,8.94174166 56.145993296,8.941763117 56.146214437,8.942506089 56.146296617,8.942758216 56.146333972,8.9427153 56.146250298,8.942463173 56.146232368,8.942476584 56.146044099,8.941843583 56.146047087,8.941820114 56.146090419,8.941770492 56.146135244,8.941767811 56.146174842,8.941747023 56.146213689,8.941700756 56.146237596,8.941660522 56.146262998,8.941598831 56.146277851,8.941610669 56.146322678,8.941776966 56.14628084,8.941857433 56.146439224,8.942302679 56.146600597,8.942125653 56.146554365,8.941991107 56.146528876,8.942018365 56.146481061,8.942039823 56.146379457,8.941691136 56.146361527,8.941573119 56.146379457,8.941530203 56.146451178,8.941476559 56.146755992,8.941176152 56.146765789,8.941176382 56.146794926,8.941226003 56.1469167,8.94159883 56.146874109,8.941641748 56.147017549,8.942052126 56.146624504,8.942474341 56.146301758,8.942806935 56.146325666,8.942882037 56.146421294,8.942790842 56.146467706,8.942821254 56.146709015,8.943562885 56.147048844,8.944539642 56.147135506,8.944443083 56.14719826,8.944394803 56.147281934,8.944357252 56.147338714,8.944389439 56.147374572,8.944362617 56.147347679,8.94428215 56.147320783,8.944249964 56.147264004,8.944137311 56.147066774,8.944308973 56.146992066,8.944110489 56.147160247,8.943931684 56.147233461,8.944142238 56.147262597,8.944115416 56.147195273,8.943895912 56.147132518,8.943718887 56.146962183,8.943922734 56.146905404,8.943960285 56.146490027,8.942710376 56.146711168,8.942479706 56.1471116,8.942029095 56.14720125,8.942007637 56.147290899,8.942050553 56.147698139,8.943285944 56.147666763,8.943350316 56.147524072,8.943490462 56.147484478,8.943532707 56.147403793,8.943285944 56.147303685,8.943396585 56.147340292,8.943528013 56.14739931,8.943710404 56.147728769,8.943380492 56.147763048,8.943466759 56.147757071,8.943563319 56.147666005,8.943714425 56.147715235,8.943842268 56.148081371,8.943454251 56.148051488,8.943355009 56.147954291,8.943445302 56.147840743,8.943466759 56.147374654,8.942115158 56.147344772,8.942015916 56.147404455,8.941943265 56.147362702,8.941800671 56.147440396,8.941720205 56.147658459,8.941487289 56.147697306,8.941465831 56.147721213,8.941551662 56.147769027,8.941680409 56.147857255,8.941933439 56.147893114,8.941895888 56.147876677,8.94184895 56.147866219,8.941815422 56.147852698,8.941776968 56.14783178,8.94170723 56.14779891,8.941610671 56.147804886,8.941546298 56.147873615,8.941503382 56.147921425,8.941573121 56.147972224,8.94171796 56.148295782,8.941379565 56.14827486,8.941311168 56.148023026,8.941562392 56.147993143,8.941562392 56.147949139,8.941474782 56.147903571,8.941409068 56.147856507,8.941409068 56.147791513,8.941454666 56.147760063,8.941444374 56.147699623,8.941342013 56.147108615,8.941937901 56.146800821,8.94097767 56.146935293,8.940832831 56.14688748,8.940645076 56.146591638,8.940918662 56.146540836,8.941036679 56.146376475,8.941176154 56.1464213,8.941374637 56.146319696,8.941455104 56.146336132,8.94158385 56.146288317,8.941422917 56.146137403,8.940956213 56.14592224,8.940242745 56.145938675,8.940218605 56.146089588,8.940738953 56.146219957,8.94062496 56.146190073,8.940512307 56.146318574,8.940405019 56.146423168,8.940651782 56.146459028,8.940523036 56.146479654,8.940512536 56.146494596,8.940488396 56.146512526,8.940488396 56.146509537,8.940445481 56.146500572,8.940415977 56.146494596,8.940394519 56.14648563,8.940356968 56.146476958,8.940319188 56.146372365,8.940056331 56.146500865,8.93993295 56.146551374,8.939890264 56.146517008,8.939764199 56.146487685,8.939774491 56.146467993,8.939793475 56.146387307,8.939589627 56.146388282,8.939588723 56.146342268,8.939428851 56.146276737,8.939476974 56.146267771,8.939546712 56.146216969,8.939621814 56.146276737,8.93983639 56.146157201,8.939997323 56.146166166,8.940072425 56.146166166,8.940093882 56.146148236,8.940099247 56.14601077,8.940233357 56.145911254,8.939881328","sm0afa7665",Pilgaard,Ålykkevej 5 Herningvand
P Andersens Have Vea Snejbjerg,Overlay,,Polygon,#FFB124,,56.130325999,8.906041664,"56.130325999,8.906041664 56.130331979,8.906562012 56.130290124,8.906819504 56.130251259,8.907119912 56.130230331,8.907270115 56.130693721,8.907522243 56.130977731,8.907479328 56.131028554,8.907495421 56.131073396,8.907618803 56.131097313,8.907908482 56.131109271,8.90829472 56.131088344,8.908536119 56.131058449,8.908638043 56.130986699,8.908659501 56.130663824,8.908734602 56.130529292,8.908723874 56.130098787,8.908697051 56.130107756,8.908605856 56.130448573,8.908638043 56.130595063,8.908648772 56.130774439,8.90862195 56.130882064,8.908595128 56.131028553,8.908546848 56.13104649,8.908439559 56.131064428,8.908241076 56.131058449,8.907962126 56.131025563,8.907608075 56.130998657,8.907565159 56.130902991,8.907575888 56.130708669,8.907597346 56.130592076,8.90755443 56.130224355,8.907366676 56.130194458,8.907393498 56.130122707,8.90788166 56.130095801,8.908090873 56.130092811,8.908536119 56.13009879,8.908600492 56.130089821,8.908702416 56.130092811,8.909292502 56.13009879,8.909571452 56.130125697,8.909764571 56.130176521,8.909769935 56.130400742,8.909710927 56.130445587,8.909710927 56.130448576,8.909769935 56.130337961,8.90982358 56.130173532,8.909845038 56.130146625,8.909861131 56.130158584,8.910204454 56.130116729,8.910225911 56.130095802,8.910075708 56.130050957,8.909426613 56.130041988,8.908756061 56.130047967,8.908375187 56.130065905,8.90791921 56.130128688,8.907522243 56.130176522,8.90727548 56.130245283,8.906798047 56.130071885,8.906647843 56.130092812,8.906519097 56.130263221,8.906696123 56.130284148,8.906519097 56.130266211,8.906047028 56.130325999,8.906041664","sm4cbe1059",Pilgaard,P Andersens Have Vea Snejbjerg
P Andersens Have Vea Snejbjerg,Overlay,,Line,#EB0920,,56.130299092,8.906953615,"56.130299092,8.906953615 56.130275175,8.907103818","sm15cd917d",Pilgaard,P Andersens Have Vea Snejbjerg
P Andersens Have Vea Snejbjerg,Overlay,,Line,#EB0920,,56.130122704,8.908262533,"56.130122704,8.908262533 56.130119715,8.908450287","smd317d941",Pilgaard,P Andersens Have Vea Snejbjerg
P Andersens Have Vea Snejbjerg,Overlay,,Line,#EB0920,,56.130983711,8.908678275,"56.130983711,8.908678275 56.130943352,8.908689004","sm8bb6814f",Pilgaard,P Andersens Have Vea Snejbjerg
